,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.016,0.001,0.068,0.846
KFDA,0.016,1.0,0.266,0.988,0.001
SVM(Gauss),0.001,0.266,1.0,0.093,0.001
SVM(POL2),0.068,0.988,0.093,1.0,0.003
SVM(POL3),0.846,0.001,0.001,0.003,1.0
