,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.001,0.001,0.784,0.035
KFDA,0.001,1.0,0.124,0.011,0.001
SVM(Gauss),0.001,0.124,1.0,0.001,0.001
SVM(POL2),0.784,0.011,0.001,1.0,0.001
SVM(POL3),0.035,0.001,0.001,0.001,1.0
