,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.102,0.001,0.001,0.001
KFDA,0.102,1.0,0.001,0.001,0.001
SVM(Gauss),0.001,0.001,1.0,0.582,0.973
SVM(POL2),0.001,0.001,0.582,1.0,0.228
SVM(POL3),0.001,0.001,0.973,0.228,1.0
