,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.002,0.988,0.988,1.0
KFDA,0.002,1.0,0.001,0.001,0.004
SVM(Gauss),0.988,0.001,1.0,1.0,0.966
SVM(POL2),0.988,0.001,1.0,1.0,0.966
SVM(POL3),1.0,0.004,0.966,0.966,1.0
