,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.102,0.002,0.001,0.001
KFDA,0.102,1.0,0.001,0.001,0.001
SVM(Gauss),0.002,0.001,1.0,0.084,0.784
SVM(POL2),0.001,0.001,0.084,1.0,0.635
SVM(POL3),0.001,0.001,0.784,0.635,1.0
