"pob_tot","i_analf","i_asistesc","i_edbasinc","i_sdsalud","i_ptierra","i_nosan","i_noagua","i_nodren","i_noelec","i_nolav","i_noref","grs"
723043,3.185919,3.832044,36.59555,26.49898,1.48556,3.55245,1.994297,1.332242,2.806767,15.39047,7.636868,"Muy bajo"
40547,6.748812,5.490578,58.29518,23.23723,7.120962,13.45202,4.31502,11.82504,3.996699,29.29733,26.12591,"Muy bajo"
50183,8.147171,8.93428,63.99924,26.86169,2.926481,3.426124,2.67666,1.668451,1.864739,23.02819,11.88437,"Muy bajo"
13687,6.70957,4.179861,53.4235,26.82107,4.824259,9.200551,1.137147,5.582357,2.06754,32.63267,25.77533,"Muy bajo"
82623,5.327423,5.689278,51.94471,30.62343,2.719016,4.349298,3.39595,2.397473,3.418514,19.96954,11.47966,"Muy bajo"
38912,5.577623,5.350898,44.9837,29.69778,1.905104,3.774263,2.743829,2.68392,2.096813,20.38102,14.01869,"Muy bajo"
45471,6.485243,4.297441,46.56661,30.57553,3.975116,6.938001,3.785323,4.692113,2.8469,26.78195,17.5348,"Muy bajo"
7631,5.154194,4.780011,53.65478,18.17586,3.599756,19.89018,5.43014,16.53447,4.392922,37.1568,23.36791,"Muy bajo"
17372,6.306391,5.220588,59.23856,23.90053,3.926991,10.03872,3.318584,6.747787,2.986726,28.29093,23.14712,"Muy bajo"
17115,7.382615,5.498282,60.04107,28.51884,4.476351,15.39977,3.969594,13.76689,5.011261,33.33333,24.74662,"Muy bajo"
28832,6.089893,5.351067,51.34466,26.78274,1.914171,3.751158,2.454461,1.852424,2.099413,19.72831,11.46959,"Muy bajo"
413481,5.051102,6.160282,42.10711,35.44806,3.722851,8.834527,8.471477,17.00271,9.687378,28.86929,18.76997,"Muy bajo"
855962,2.88348,3.62694,35.29466,29.8907,2.529665,8.583431,2.866518,8.875835,7.899267,18.55306,9.666764,"Muy bajo"
91021,3.602565,3.71318,44.89087,31.76286,3.132707,13.70776,15.30007,7.844749,15.13565,28.82177,18.09528,"Muy bajo"
1410700,2.51525,5.101645,39.47918,38.55909,3.810241,13.11082,4.488271,4.432819,11.94576,33.5909,16.70905,"Muy bajo"
73305,3.44995,4.577439,46.79994,48.24637,2.797126,17.39703,22.42637,4.996435,17.49026,38.7923,21.49948,"Muy bajo"
63830,6.101789,3.831292,47.13276,37.20037,11.03572,5.283699,6.10027,19.53167,6.220354,35.34074,13.37736,"Muy bajo"
52743,6.069339,8.947636,53.05384,35.45873,9.463677,14.79143,19.25369,21.80761,8.562713,42.6504,28.21368,"Bajo"
219596,2.602661,3.054487,32.44243,26.82244,4.139014,9.596848,6.943852,5.063723,9.049187,35.64568,13.18479,"Muy bajo"
164162,3.17187,3.713188,39.76195,31.18748,9.251719,11.16785,20.90723,3.415913,10.40646,46.58294,19.53396,"Muy bajo"
11839,3.651685,2.676951,44.25394,36.97103,15.28455,5.00813,9.300813,12.78049,12.19512,31.25203,19.28455,"Muy bajo"
49850,16.82856,3.844071,52.10913,42.88866,13.43676,28.85139,12.95591,42.21557,5.352931,50.0998,50.66231,"Bajo"
238850,6.24337,2.719311,39.24689,28.38392,2.894133,7.363676,3.798951,6.306451,3.941732,25.61564,15.19099,"Muy bajo"
199988,6.660474,5.807937,44.30357,37.84777,7.71755,7.106709,22.08319,5.716997,5.968054,26.6556,18.32523,"Muy bajo"
76116,14.12017,5.98458,60.68665,48.63498,9.062997,14.92955,16.66758,31.71227,6.129722,39.52519,34.67295,"Bajo"
26973,14.66445,5.288082,52.00476,47.78482,6.793023,28.32942,13.14995,49.58068,8.067762,50.31868,51.02315,"Bajo"
34687,15.84732,9.561959,63.60301,48.0497,9.517767,39.326,13.31077,52.25606,10.6599,46.03779,53.6661,"Medio"
8290,12.20982,5.860806,60.67176,34.64415,15.78436,6.21661,36.47402,10.44196,8.207868,43.41914,31.08305,"Bajo"
9050,14.66958,5.05689,56.02714,35.62431,4.752275,47.1183,12.28514,60.06067,7.532862,41.86047,43.02325,"Bajo"
50106,14.66359,5.898923,61.56035,47.168,11.26503,10.83813,6.063774,24.95208,7.614567,45.04269,33.5947,"Bajo"
23814,22.04641,5.240772,70.91782,77.55102,30.92615,14.81028,69.72664,64.40228,21.46063,70.76704,63.66789,"Alto"
37006,17.88419,7.222222,68.72458,59.94974,24.90816,20.87925,20.35786,36.30762,25.93909,59.62792,50.18367,"Medio"
991,4.83871,2.531646,52.84553,42.78506,0.3194888,2.236422,2.875399,4.792332,2.555911,17.2524,6.389776,"Muy bajo"
126238,3.105422,4.680301,47.04586,24.10447,3.529336,4.235846,2.848518,10.1641,3.025145,23.7323,7.399082,"Muy bajo"
20153,3.401008,5.895865,45.03586,34.15372,1.02459,4.601341,2.216841,11.90387,3.576751,15.74143,5.495529,"Muy bajo"
19622,8.025949,6.948019,64.1925,66.0585,7.826623,8.258012,19.41249,13.06491,3.944125,27.83484,21.38455,"Muy bajo"
1672,11.13924,9.121622,61.79487,45.69378,3.04878,3.658537,8.739838,29.87805,5.487805,30.0813,12.60163,"Muy bajo"
23871,3.115455,3.529154,41.62837,20.16254,1.467645,3.669113,10.00667,23.51568,3.08539,22.38159,6.370914,"Muy bajo"
12220,5.870818,4.851202,52.65226,31.46481,5.768005,5.672403,15.67878,29.2543,8.349267,32.95092,19.50287,"Muy bajo"
2778,6.683938,7.471264,55.85162,61.77106,2.010724,3.08311,12.06434,36.72922,3.887399,25.06702,10.05362,"Muy bajo"
51528,6.001446,4.038121,48.19786,37.79305,5.054623,5.592695,7.671613,18.15588,1.834339,26.64275,10.10925,"Muy bajo"
70160,2.767574,3.848197,39.55676,22.2805,1.362089,3.552781,4.38706,8.751419,2.309875,15.89671,4.790011,"Muy bajo"
11284,11.18481,6.031042,63.52632,44.78022,3.745583,13.03887,10.38869,21.4841,4.911661,38.97527,21.02473,"Muy bajo"
1877,8.134328,11.32686,62.67764,38.30581,1.776199,6.039076,25.9325,32.68206,8.703375,34.28064,13.14387,"Muy bajo"
1516,7.509881,7.317073,59.86125,59.30079,4.086538,10.57692,7.692307,54.80769,7.932693,35.81731,13.70192,"Bajo"
9768,5.280222,6.823884,74.23702,40.45864,3.947368,3.189793,22.20893,60.52632,7.017544,30.42265,11.8421,"Bajo"
1393,3.854167,6.840391,61.21593,48.45657,1.017812,4.580153,12.72265,61.57761,5.852417,21.11959,10.17812,"Muy bajo"
1708,5.848903,2.013423,49.95898,58.43091,0.4065041,1.626016,3.252033,31.91057,3.04878,21.34146,7.926829,"Muy bajo"
99707,6.08217,4.602255,47.39523,41.29399,5.935592,9.072536,4.00246,13.98884,2.794253,25.30205,8.931945,"Muy bajo"
200160,2.122952,3.196487,32.22793,19.27858,0.522444,4.031654,2.552677,4.38123,2.276088,13.05918,4.006684,"Muy bajo"
7221,3.21777,5.726257,44.26161,33.16715,1.139306,3.625065,5.85189,22.37183,1.812532,15.63957,3.883998,"Muy bajo"
62710,4.590133,5.016722,48.95588,22.30745,1.289961,4.08176,4.08176,17.33034,3.601919,16.17748,6.32517,"Muy bajo"
5822,5.086789,3.631011,44.06615,33.40776,1.610825,5.798969,11.7268,33.44072,1.93299,24.16237,6.572165,"Muy bajo"
25856,4.12897,4.154728,48.48801,24.74474,4.090044,4.755866,5.43754,18.18326,3.2974,18.27838,6.800888,"Muy bajo"
10183,6.778644,5.634448,58.72848,42.14868,6.704762,9.447619,31.50476,30.20952,8.419047,48.30476,37.29524,"Bajo"
44715,5.937229,3.784619,43.89111,41.43576,6.275805,12.99202,12.61584,15.55189,2.725021,28.37875,14.79035,"Muy bajo"
