"pob_tot","i_analf","i_asistesc","i_edbasinc","i_sdsalud","i_ptierra","i_nosan","i_noagua","i_nodren","i_noelec","i_nolav","i_noref","grs"
643419,3.8562,5.61393,42.97832,35.56874,2.32312,3.31002,2.13923,2.6767,1.32557,19.36242,12.14456,"Muy bajo"
37763,7.43317,9.2094,67.29678,67.21129,10.22556,22.72044,9.92481,20.95694,6.27478,38.40055,42.4607,"Muy bajo"
51291,8.19624,12.16249,72.28516,82.47256,4.8762,6.72612,6.01461,6.25178,2.83654,35.63229,26.13604,"Muy bajo"
12619,6.21282,7.48181,62.00925,60.45645,6.01966,13.59541,8.51761,8.31286,2.90745,42.42424,40.29484,"Muy bajo"
64097,6.62415,9.60053,63.9477,46.96632,6.92401,8.59813,5.23364,6.96465,3.28322,28.35433,23.64892,"Muy bajo"
34296,6.24817,7.5752,52.87777,47.61197,3.71094,8.54868,3.54567,6.05469,2.62921,27.94471,28.71094,"Muy bajo"
41655,7.03785,7.098,53.81335,56.55503,6.26907,11.03764,7.52798,9.52441,3.70041,36.44456,32.59156,"Muy bajo"
7244,4.95747,9.68444,61.67679,69.25732,4.2098,32.50518,5.245,28.64044,6.07315,52.51898,44.16839,"Muy bajo"
16508,7.0961,8.24945,67.29351,67.33099,6.53553,18.75,5.74239,16.65609,4.18782,37.81726,42.00508,"Muy bajo"
15327,8.57368,9.65281,69.01758,60.78815,11.22995,26.80481,5.71524,24.6992,8.28877,47.42647,46.7246,"Muy bajo"
20066,8.02037,8.30212,65.8465,50.93192,3.83112,8.39197,2.11102,5.70758,2.08496,25.6711,26.34871,"Muy bajo"
370730,5.60424,9.00704,47.98466,37.31179,5.86068,7.99292,10.88701,25.65221,5.86543,28.74003,17.41446,"Muy bajo"
764602,3.44528,5.69675,40.87063,33.73075,4.22595,4.29062,5.57346,18.94875,1.54264,16.96401,5.49596,"Muy bajo"
77795,4.04458,7.05865,49.55927,37.4857,4.02225,6.04215,19.53162,15,5.3103,27.04918,11.59251,"Muy bajo"
1210820,2.88542,8.36174,44.88212,40.61058,5.2175,6.65342,12.28381,15.31412,2.48078,34.88857,11.50958,"Muy bajo"
