"pob_tot","i_analf","i_asistesc","i_edbasinc","i_sdsalud","i_ptierra","i_nosan","i_noagua","i_nodren","i_noelec","i_nolav","i_noref","grs"
877190,2.057,3.4786,25.6873,14.156,0.5478,0.5543,0.6627,0.4819,0.1999,13.8229,5.4216,"Muy bajo"
46464,4.4207,2.5959,41.8921,5.5355,1.6779,5.6457,1.2979,5.9887,1.1681,23.4356,15.222,"Bajo"
56048,4.7805,4.3906,49.1856,9.7524,1.0577,0.7756,0.9519,0.8673,0.5429,15.562,7.3826,"Bajo"
15577,4.3233,2.6265,33.0597,5.1165,1.5629,2.8986,0.5968,1.9324,0.7389,23.0747,12.4467,"Muy bajo"
120405,3.2445,4.1297,33.7271,13.8341,0.9201,1.0273,0.9443,0.7264,0.422,15.5097,8.1976,"Muy bajo"
46473,3.3941,2.6214,30.9453,10.0661,0.7057,1.82,1.1514,1.3465,0.7243,16.9561,10.3352,"Muy bajo"
53866,3.5087,2.2669,32.0825,10.3999,0.9245,2.7653,1.579,2.6016,0.6791,21.795,11.4865,"Muy bajo"
8896,3.1822,1.9663,36.5098,5.643,0.5703,5.9886,1.616,4.8954,1.5209,24.2871,14.2586,"Bajo"
20926,4.1919,2.5291,42.0261,8.1717,1.253,4.2441,1.3339,2.8699,1.0105,22.0089,14.1067,"Bajo"
20245,4.8907,2.3069,42.2545,8.5898,1.7206,7.0873,2.6219,6.3089,2.1712,27.8369,18.0664,"Bajo"
46454,2.9296,3.8726,33.2229,11.7363,0.4613,0.4784,0.8202,0.598,0.4613,19.5301,8.9962,"Muy bajo"
486639,3.5607,3.3781,33.6113,13.8378,1.4235,2.0654,7.2348,8.7065,1.3627,21.5074,9.9728,"Bajo"
988417,1.5422,3.0459,26.6772,15.4809,0.8144,1.1084,1.2867,3.3085,0.7588,14.0282,3.9052,"Muy bajo"
102406,2.31,2.1433,34.1294,11.4612,1.3337,3.1243,6.5173,2.2441,1.6696,18.2585,8.4322,"Muy bajo"
1641570,1.682,3.0302,29.9697,21.1988,1.4045,0.7441,1.8214,1.4819,0.3602,22.0635,6.1516,"Muy bajo"
96734,2.2888,3.6941,34.1701,19.1897,1.3262,5.1828,6.9151,1.5455,0.5104,27.3479,10.3476,"Muy bajo"
72564,5.0109,2.8609,39.1581,8.9356,3.5641,2.1273,4.5298,5.668,2.785,30.6354,11.2334,"Bajo"
60171,5.006,4.2066,43.2745,8.6919,2.0211,2.7148,2.7531,15.2838,1.5568,35.948,18.2335,"Bajo"
272711,1.8485,1.9606,22.4619,12.6713,1.6778,1.0948,3.7855,1.6079,1.3538,26.8419,6.3919,"Muy bajo"
287671,1.945,2.32,29.9442,16.8373,6.52,1.6217,11.3468,0.9878,0.8571,36.5056,9.9878,"Bajo"
18912,2.4651,1.4612,29.3805,10.4008,3.682,4.7029,6.3598,4.8368,3.364,28.3849,16.4854,"Bajo"
56537,11.0266,1.8488,38.6616,10.1739,2.7518,15.9054,4.6238,19.0583,1.2668,32.782,31.1141,"Bajo"
283025,3.963,1.6984,27.6266,9.974,1.1142,1.6903,0.9778,2.212,0.7504,18.4932,8.1557,"Muy bajo"
248303,4.0597,5.117,30.658,16.3083,2.2885,1.6696,10.5657,1.5478,1.1598,19.4619,11.4593,"Bajo"
90244,9.9784,3.9,45.8127,10.8761,4.039,7.9251,4.5392,10.9141,2.4143,27.004,23.3536,"Bajo"
