,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.001,0.358,0.018,0.013,0.001,0.053
KFDA,0.001,1.0,0.018,0.358,0.001,0.001,0.001
LDA,0.358,0.018,1.0,0.896,0.001,0.001,0.001
QDA,0.018,0.358,0.896,1.0,0.001,0.001,0.001
SVM(Gauss),0.013,0.001,0.001,0.001,1.0,0.935,0.999
SVM(POL2),0.001,0.001,0.001,0.001,0.935,1.0,0.73
SVM(POL3),0.053,0.001,0.001,0.001,0.999,0.73,1.0
