,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.001,0.001,0.99,0.001,1.0,1.0
KFDA,0.001,1.0,0.001,0.001,0.998,0.001,0.001
LDA,0.001,0.001,1.0,0.001,0.001,0.001,0.001
QDA,0.99,0.001,0.001,1.0,0.001,0.992,0.999
SVM(Gauss),0.001,0.998,0.001,0.001,1.0,0.001,0.001
SVM(POL2),1.0,0.001,0.001,0.992,0.001,1.0,1.0
SVM(POL3),1.0,0.001,0.001,0.999,0.001,1.0,1.0
