,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.001,0.872,0.016,0.049,0.001,0.003
KFDA,0.001,1.0,0.002,0.553,0.001,0.001,0.001
LDA,0.872,0.002,1.0,0.376,0.001,0.001,0.001
QDA,0.016,0.553,0.376,1.0,0.001,0.001,0.001
SVM(Gauss),0.049,0.001,0.001,0.001,1.0,0.512,0.981
SVM(POL2),0.001,0.001,0.001,0.001,0.512,1.0,0.951
SVM(POL3),0.003,0.001,0.001,0.001,0.981,0.951,1.0
