,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.004,0.993,0.001,0.145,0.135,0.289
KFDA,0.004,1.0,0.037,0.243,0.896,0.907,0.73
LDA,0.993,0.037,1.0,0.001,0.512,0.492,0.73
QDA,0.001,0.243,0.001,1.0,0.009,0.01,0.003
SVM(Gauss),0.145,0.896,0.512,0.009,1.0,1.0,1.0
SVM(POL2),0.135,0.907,0.492,0.01,1.0,1.0,1.0
SVM(POL3),0.289,0.73,0.73,0.003,1.0,1.0,1.0
