,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.002,0.001,0.963,0.001,0.872,0.053
KFDA,0.002,1.0,0.001,0.001,0.594,0.126,0.001
LDA,0.001,0.001,1.0,0.001,0.001,0.001,0.289
QDA,0.963,0.001,0.001,1.0,0.001,0.289,0.433
SVM(Gauss),0.001,0.594,0.001,0.001,1.0,0.001,0.001
SVM(POL2),0.872,0.126,0.001,0.289,0.001,1.0,0.001
SVM(POL3),0.053,0.001,0.289,0.433,0.001,0.001,1.0
