,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,1.0,0.001,0.178,0.007,0.001,0.028
KFDA,1.0,1.0,0.001,0.243,0.004,0.001,0.018
LDA,0.001,0.001,1.0,0.178,0.001,0.001,0.001
QDA,0.178,0.243,0.178,1.0,0.001,0.001,0.001
SVM(Gauss),0.007,0.004,0.001,0.001,1.0,0.997,1.0
SVM(POL2),0.001,0.001,0.001,0.001,0.997,1.0,0.951
SVM(POL3),0.028,0.018,0.001,0.001,1.0,0.951,1.0
