,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.783,0.001,0.001,0.001,0.001,0.021
KFDA,0.783,1.0,0.001,0.001,0.001,0.001,0.001
LDA,0.001,0.001,1.0,1.0,1.0,1.0,0.73
QDA,0.001,0.001,1.0,1.0,1.0,0.996,0.573
SVM(Gauss),0.001,0.001,1.0,1.0,1.0,1.0,0.816
SVM(POL2),0.001,0.001,1.0,0.996,1.0,1.0,0.917
SVM(POL3),0.021,0.001,0.73,0.573,0.816,0.917,1.0
