,GNLPDA,KFDA,LDA,QDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.007,0.693,0.693,0.999,0.998,1.0
KFDA,0.007,1.0,0.001,0.001,0.001,0.001,0.008
LDA,0.693,0.001,1.0,1.0,0.935,0.943,0.674
QDA,0.693,0.001,1.0,1.0,0.935,0.943,0.674
SVM(Gauss),0.999,0.001,0.935,0.935,1.0,1.0,0.998
SVM(POL2),0.998,0.001,0.943,0.943,1.0,1.0,0.998
SVM(POL3),1.0,0.008,0.674,0.674,0.998,0.998,1.0
