"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",2.5113244817021e-13,NA,NA,NA,NA,NA
"LDA_MASS",3.78141962187328e-13,0.999999996121841,NA,NA,NA,NA
"QDA",0.0445471982164246,4.15969993697862e-05,5.56775546198818e-05,NA,NA,NA
"SVM_Poly2",0.471953089127212,1.18362098566749e-07,1.68946447165474e-07,0.935329496808897,NA,NA
"SVM_Poly3",2.01578172487338e-07,0.413255062287387,0.452121532618624,0.0864828140263167,0.0025064060031863,NA
"SVM_Radial",0.552891929574246,5.6399329650958e-14,5.98410210272959e-14,3.59053065083215e-05,0.00397518306398492,1.11022302462516e-12
