"","GNLPDA","KFDA","LDA_MASS","SVM_Poly2","SVM_Poly3"
"KFDA",2.38981481612832e-05,NA,NA,NA,NA
"LDA_MASS",1.01296509069648e-07,0.917905475545587,NA,NA,NA
"SVM_Poly2",0.447112979537108,0.0355874116138956,0.00102322825420431,NA,NA
"SVM_Poly3",2.4891200212096e-13,0.0435378154517675,0.40347391000639,6.70050046558401e-08,NA
"SVM_Radial",0.893530771787604,6.70050046558401e-08,9.89557324970747e-11,0.0435378154517672,4.76285677564192e-14
