"Metodo","Accuracy","Std_Acc","Precision","Std_Pre","Recall","Std_Rec","F1","Std_F1"
"LDA_Simple",0.96115180191859,0.0321337637986615,0.947988930225772,0.0410131309511714,0.994365079365079,0.0118809285236901,0.970257595430661,0.0242099355796306
"QDA",0.957825598478956,0.0238320898925249,0.966799278269866,0.0252108777888817,0.966428571428571,0.0256656026628231,0.966347597197239,0.0191047121266176
"SVM_Radial",0.969922651456227,0.0267405048736489,0.971058558558559,0.0384394689147512,0.983095238095238,0.0237625933719654,0.976422295074053,0.0202393005236826
"SVM_Poly2",0.866400916083312,0.0401655837368902,0.850772266101997,0.0426025595437521,0.958095238095238,0.0376476498474827,0.900321895095954,0.0281313590886002
"SVM_Poly3",0.95961131276467,0.0263885073836606,0.942883521172995,0.0349475993703961,0.997222222222222,0.00878410461157884,0.969005018717348,0.0199087552219119
"RF",0.961304122374903,0.0247022339724034,0.963116219168851,0.0366878133617863,0.977460317460317,0.0292736552890809,0.969519445968721,0.0191492688468886
