"Bloque","Accuracy","Metodo"
4,0.466666666666667,"LDA"
5,0.433333333333333,"LDA"
6,0.433333333333333,"LDA"
7,0.433333333333333,"LDA"
8,0.433333333333333,"LDA"
9,0.433333333333333,"LDA"
10,0.411111111111111,"LDA"
11,0.366666666666667,"LDA"
12,0.366666666666667,"LDA"
13,0.477777777777778,"LDA"
14,0.377777777777778,"LDA"
15,0.411111111111111,"LDA"
16,0.4,"LDA"
17,0.511111111111111,"LDA"
18,0.433333333333333,"LDA"
19,0.333333333333333,"LDA"
20,0.466666666666667,"LDA"
21,0.422222222222222,"LDA"
22,0.422222222222222,"LDA"
23,0.455555555555556,"LDA"
24,0.444444444444444,"LDA"
25,0.4,"LDA"
26,0.433333333333333,"LDA"
27,0.411111111111111,"LDA"
28,0.444444444444444,"LDA"
29,0.444444444444444,"LDA"
30,0.366666666666667,"LDA"
31,0.411111111111111,"LDA"
32,0.377777777777778,"LDA"
33,0.388888888888889,"LDA"
1,0.877777777777778,"QDA"
2,0.822222222222222,"QDA"
3,0.922222222222222,"QDA"
4,0.888888888888889,"QDA"
5,0.955555555555556,"QDA"
6,0.855555555555556,"QDA"
7,0.855555555555556,"QDA"
8,0.911111111111111,"QDA"
9,0.922222222222222,"QDA"
10,0.911111111111111,"QDA"
11,0.833333333333333,"QDA"
12,0.855555555555556,"QDA"
13,0.877777777777778,"QDA"
14,0.855555555555556,"QDA"
15,0.855555555555556,"QDA"
16,0.911111111111111,"QDA"
17,0.911111111111111,"QDA"
18,0.8,"QDA"
19,0.844444444444444,"QDA"
20,0.888888888888889,"QDA"
21,0.911111111111111,"QDA"
22,0.922222222222222,"QDA"
23,0.9,"QDA"
24,0.822222222222222,"QDA"
25,0.888888888888889,"QDA"
26,0.9,"QDA"
27,0.844444444444444,"QDA"
28,0.911111111111111,"QDA"
29,0.944444444444444,"QDA"
30,0.788888888888889,"QDA"
31,0.811111111111111,"QDA"
32,0.9,"QDA"
33,0.822222222222222,"QDA"
