"Bloque","Accuracy","Metodo"
1,0.913934426229508,"GNLPDA"
2,0.924863387978142,"GNLPDA"
3,0.918032786885246,"GNLPDA"
4,0.898907103825137,"GNLPDA"
5,0.941256830601093,"GNLPDA"
6,0.907103825136612,"GNLPDA"
7,0.918032786885246,"GNLPDA"
8,0.926229508196721,"GNLPDA"
9,0.927595628415301,"GNLPDA"
10,0.923497267759563,"GNLPDA"
11,0.922131147540984,"GNLPDA"
12,0.92896174863388,"GNLPDA"
13,0.918032786885246,"GNLPDA"
14,0.922131147540984,"GNLPDA"
15,0.930327868852459,"GNLPDA"
16,0.924863387978142,"GNLPDA"
17,0.924863387978142,"GNLPDA"
18,0.919398907103825,"GNLPDA"
19,0.907103825136612,"GNLPDA"
20,0.931693989071038,"GNLPDA"
21,0.933060109289617,"GNLPDA"
22,0.924863387978142,"GNLPDA"
23,0.912568306010929,"GNLPDA"
24,0.920765027322404,"GNLPDA"
25,0.920765027322404,"GNLPDA"
26,0.912568306010929,"GNLPDA"
27,0.922131147540984,"GNLPDA"
28,0.935792349726776,"GNLPDA"
29,0.913934426229508,"GNLPDA"
30,0.924863387978142,"GNLPDA"
31,0.927595628415301,"GNLPDA"
32,0.923497267759563,"GNLPDA"
33,0.918032786885246,"GNLPDA"
1,0.672131147540984,"KFDA"
2,0.665300546448087,"KFDA"
3,0.640710382513661,"KFDA"
4,0.639344262295082,"KFDA"
5,0.66120218579235,"KFDA"
6,0.637978142076503,"KFDA"
7,0.632513661202186,"KFDA"
8,0.680327868852459,"KFDA"
9,0.646174863387978,"KFDA"
10,0.635245901639344,"KFDA"
11,0.633879781420765,"KFDA"
12,0.647540983606557,"KFDA"
13,0.681693989071038,"KFDA"
14,0.662568306010929,"KFDA"
15,0.627049180327869,"KFDA"
16,0.666666666666667,"KFDA"
17,0.655737704918033,"KFDA"
18,0.636612021857924,"KFDA"
19,0.66120218579235,"KFDA"
20,0.629781420765027,"KFDA"
21,0.637978142076503,"KFDA"
22,0.640710382513661,"KFDA"
23,0.677595628415301,"KFDA"
24,0.640710382513661,"KFDA"
25,0.628415300546448,"KFDA"
26,0.668032786885246,"KFDA"
27,0.648907103825137,"KFDA"
28,0.666666666666667,"KFDA"
29,0.665300546448087,"KFDA"
30,0.646174863387978,"KFDA"
1,0.978142076502732,"SVM_RBF"
2,0.979508196721312,"SVM_RBF"
3,0.975409836065574,"SVM_RBF"
4,0.975409836065574,"SVM_RBF"
5,0.971311475409836,"SVM_RBF"
6,0.974043715846995,"SVM_RBF"
7,0.98224043715847,"SVM_RBF"
8,0.972677595628415,"SVM_RBF"
9,0.980874316939891,"SVM_RBF"
10,0.979508196721312,"SVM_RBF"
11,0.978142076502732,"SVM_RBF"
12,0.978142076502732,"SVM_RBF"
13,0.974043715846995,"SVM_RBF"
14,0.976775956284153,"SVM_RBF"
15,0.975409836065574,"SVM_RBF"
16,0.974043715846995,"SVM_RBF"
17,0.983606557377049,"SVM_RBF"
18,0.969945355191257,"SVM_RBF"
19,0.984972677595628,"SVM_RBF"
20,0.979508196721312,"SVM_RBF"
21,0.978142076502732,"SVM_RBF"
22,0.976775956284153,"SVM_RBF"
23,0.972677595628415,"SVM_RBF"
24,0.98224043715847,"SVM_RBF"
25,0.972677595628415,"SVM_RBF"
26,0.979508196721312,"SVM_RBF"
27,0.969945355191257,"SVM_RBF"
28,0.971311475409836,"SVM_RBF"
29,0.978142076502732,"SVM_RBF"
30,0.975409836065574,"SVM_RBF"
1,0.979508196721312,"SVM_POLY2"
2,0.978142076502732,"SVM_POLY2"
3,0.975409836065574,"SVM_POLY2"
4,0.976775956284153,"SVM_POLY2"
5,0.972677595628415,"SVM_POLY2"
6,0.975409836065574,"SVM_POLY2"
7,0.98224043715847,"SVM_POLY2"
8,0.967213114754098,"SVM_POLY2"
9,0.980874316939891,"SVM_POLY2"
10,0.980874316939891,"SVM_POLY2"
11,0.980874316939891,"SVM_POLY2"
12,0.979508196721312,"SVM_POLY2"
13,0.974043715846995,"SVM_POLY2"
14,0.972677595628415,"SVM_POLY2"
15,0.980874316939891,"SVM_POLY2"
16,0.980874316939891,"SVM_POLY2"
17,0.990437158469945,"SVM_POLY2"
18,0.975409836065574,"SVM_POLY2"
19,0.983606557377049,"SVM_POLY2"
20,0.978142076502732,"SVM_POLY2"
21,0.979508196721312,"SVM_POLY2"
22,0.979508196721312,"SVM_POLY2"
23,0.972677595628415,"SVM_POLY2"
24,0.984972677595628,"SVM_POLY2"
25,0.972677595628415,"SVM_POLY2"
26,0.984972677595628,"SVM_POLY2"
27,0.974043715846995,"SVM_POLY2"
28,0.974043715846995,"SVM_POLY2"
29,0.983606557377049,"SVM_POLY2"
30,0.976775956284153,"SVM_POLY2"
1,0.975409836065574,"SVM_POLY3"
2,0.965846994535519,"SVM_POLY3"
3,0.968579234972678,"SVM_POLY3"
4,0.975409836065574,"SVM_POLY3"
5,0.976775956284153,"SVM_POLY3"
6,0.976775956284153,"SVM_POLY3"
7,0.98224043715847,"SVM_POLY3"
8,0.971311475409836,"SVM_POLY3"
9,0.983606557377049,"SVM_POLY3"
10,0.983606557377049,"SVM_POLY3"
11,0.972677595628415,"SVM_POLY3"
12,0.968579234972678,"SVM_POLY3"
13,0.968579234972678,"SVM_POLY3"
14,0.975409836065574,"SVM_POLY3"
15,0.975409836065574,"SVM_POLY3"
16,0.976775956284153,"SVM_POLY3"
17,0.983606557377049,"SVM_POLY3"
18,0.968579234972678,"SVM_POLY3"
19,0.978142076502732,"SVM_POLY3"
20,0.974043715846995,"SVM_POLY3"
21,0.978142076502732,"SVM_POLY3"
22,0.972677595628415,"SVM_POLY3"
23,0.969945355191257,"SVM_POLY3"
24,0.979508196721312,"SVM_POLY3"
25,0.968579234972678,"SVM_POLY3"
26,0.979508196721312,"SVM_POLY3"
27,0.972677595628415,"SVM_POLY3"
28,0.971311475409836,"SVM_POLY3"
29,0.979508196721312,"SVM_POLY3"
30,0.978142076502732,"SVM_POLY3"
1,0.901639344262295,"LDA"
2,0.868852459016393,"LDA"
3,0.896174863387978,"LDA"
4,0.87568306010929,"LDA"
5,0.883879781420765,"LDA"
6,0.881147540983607,"LDA"
7,0.885245901639344,"LDA"
8,0.894808743169399,"LDA"
9,0.89207650273224,"LDA"
10,0.89344262295082,"LDA"
11,0.885245901639344,"LDA"
12,0.881147540983607,"LDA"
13,0.894808743169399,"LDA"
14,0.87431693989071,"LDA"
15,0.87568306010929,"LDA"
16,0.886612021857924,"LDA"
17,0.89344262295082,"LDA"
18,0.885245901639344,"LDA"
19,0.890710382513661,"LDA"
20,0.877049180327869,"LDA"
21,0.890710382513661,"LDA"
22,0.89207650273224,"LDA"
23,0.879781420765027,"LDA"
24,0.890710382513661,"LDA"
25,0.85792349726776,"LDA"
26,0.867486338797814,"LDA"
27,0.919398907103825,"LDA"
28,0.89344262295082,"LDA"
29,0.904371584699454,"LDA"
30,0.886612021857924,"LDA"
1,0.870218579234973,"QDA"
2,0.867486338797814,"QDA"
3,0.855191256830601,"QDA"
4,0.879781420765027,"QDA"
5,0.855191256830601,"QDA"
6,0.867486338797814,"QDA"
7,0.894808743169399,"QDA"
