"Bloque","Metodo","Accuracy","Macro_F1"
1,"GNLPDA",0.98019801980198,0.975209763539283
2,"GNLPDA",0.96039603960396,0.950419527078566
3,"GNLPDA",0.940594059405941,0.922680779926634
4,"GNLPDA",0.98019801980198,0.975925925925926
5,"GNLPDA",0.97029702970297,0.96222028480093
6,"GNLPDA",0.98019801980198,0.975209763539283
7,"GNLPDA",0.97029702970297,0.96222028480093
8,"GNLPDA",0.99009900990099,0.987789987789988
9,"GNLPDA",0.97029702970297,0.96222028480093
10,"GNLPDA",0.99009900990099,0.987789987789988
12,"GNLPDA",0.98019801980198,0.975209763539283
13,"GNLPDA",0.99009900990099,0.988124600347127
14,"GNLPDA",0.99009900990099,0.987789987789988
15,"GNLPDA",0.99009900990099,0.987789987789988
16,"GNLPDA",0.99009900990099,0.987789987789988
17,"GNLPDA",0.97029702970297,0.96222028480093
18,"GNLPDA",0.99009900990099,0.987789987789988
19,"GNLPDA",0.98019801980198,0.975209763539283
20,"GNLPDA",1,1
21,"GNLPDA",0.98019801980198,0.975209763539283
22,"GNLPDA",0.98019801980198,0.975209763539283
23,"GNLPDA",0.99009900990099,0.987789987789988
24,"GNLPDA",1,1
25,"GNLPDA",0.98019801980198,0.975209763539283
26,"GNLPDA",0.97029702970297,0.96222028480093
27,"GNLPDA",0.98019801980198,0.975209763539283
28,"GNLPDA",0.98019801980198,0.975209763539283
29,"GNLPDA",0.97029702970297,0.96222028480093
30,"GNLPDA",0.99009900990099,0.987789987789988
31,"GNLPDA",0.98019801980198,0.975209763539283
1,"KFDA",0.97029702970297,0.96222028480093
2,"KFDA",0.97029702970297,0.963369963369963
3,"KFDA",0.97029702970297,0.964373801041381
4,"KFDA",0.900990099009901,0.887645687645688
5,"KFDA",0.97029702970297,0.96222028480093
6,"KFDA",0.97029702970297,0.96222028480093
7,"KFDA",0.940594059405941,0.930830991149423
8,"KFDA",0.99009900990099,0.987789987789988
9,"KFDA",0.96039603960396,0.950419527078566
10,"KFDA",0.97029702970297,0.965950504280024
12,"KFDA",0.97029702970297,0.961160386115717
13,"KFDA",0.99009900990099,0.986886781407329
14,"KFDA",0.96039603960396,0.952961025541671
15,"KFDA",0.97029702970297,0.963369963369963
16,"KFDA",0.96039603960396,0.951851851851852
17,"KFDA",0.97029702970297,0.967008616498083
18,"KFDA",0.97029702970297,0.96222028480093
19,"KFDA",0.96039603960396,0.955171385055035
20,"KFDA",0.940594059405941,0.934176245210728
21,"KFDA",0.98019801980198,0.975925925925926
22,"KFDA",0.920792079207921,0.903873306929945
23,"KFDA",0.98019801980198,0.975925925925926
24,"KFDA",0.99009900990099,0.987789987789988
25,"KFDA",0.97029702970297,0.963369963369963
26,"KFDA",0.95049504950495,0.93703380800155
27,"KFDA",0.96039603960396,0.950419527078566
28,"KFDA",0.99009900990099,0.987789987789988
29,"KFDA",0.97029702970297,0.96222028480093
30,"KFDA",0.96039603960396,0.951851851851852
31,"KFDA",0.95049504950495,0.938949938949939
1,"SVM_RBF",0.97029702970297,0.96222028480093
2,"SVM_RBF",0.97029702970297,0.96222028480093
3,"SVM_RBF",0.99009900990099,0.988124600347127
4,"SVM_RBF",0.99009900990099,0.988124600347127
5,"SVM_RBF",0.97029702970297,0.963369963369963
6,"SVM_RBF",0.99009900990099,0.987789987789988
7,"SVM_RBF",0.98019801980198,0.975925925925926
8,"SVM_RBF",1,1
9,"SVM_RBF",0.98019801980198,0.975209763539283
10,"SVM_RBF",0.98019801980198,0.975209763539283
12,"SVM_RBF",0.98019801980198,0.975209763539283
13,"SVM_RBF",0.98019801980198,0.976551226551227
14,"SVM_RBF",1,1
15,"SVM_RBF",0.98019801980198,0.975925925925926
16,"SVM_RBF",0.98019801980198,0.975209763539283
17,"SVM_RBF",0.98019801980198,0.975209763539283
18,"SVM_RBF",0.97029702970297,0.96222028480093
19,"SVM_RBF",0.99009900990099,0.987789987789988
20,"SVM_RBF",0.99009900990099,0.988124600347127
21,"SVM_RBF",0.99009900990099,0.987789987789988
22,"SVM_RBF",0.97029702970297,0.963369963369963
23,"SVM_RBF",0.99009900990099,0.987789987789988
24,"SVM_RBF",0.99009900990099,0.987789987789988
25,"SVM_RBF",0.98019801980198,0.975925925925926
26,"SVM_RBF",0.96039603960396,0.950419527078566
27,"SVM_RBF",0.99009900990099,0.987789987789988
28,"SVM_RBF",0.99009900990099,0.987789987789988
29,"SVM_RBF",0.97029702970297,0.96222028480093
30,"SVM_RBF",0.98019801980198,0.975209763539283
31,"SVM_RBF",0.98019801980198,0.975209763539283
1,"SVM_POLY2",0.97029702970297,0.96222028480093
2,"SVM_POLY2",0.95049504950495,0.93703380800155
3,"SVM_POLY2",0.98019801980198,0.975925925925926
4,"SVM_POLY2",0.97029702970297,0.964373801041381
5,"SVM_POLY2",0.99009900990099,0.987789987789988
6,"SVM_POLY2",0.99009900990099,0.987789987789988
7,"SVM_POLY2",0.98019801980198,0.975925925925926
8,"SVM_POLY2",0.99009900990099,0.988124600347127
9,"SVM_POLY2",0.98019801980198,0.975209763539283
10,"SVM_POLY2",0.97029702970297,0.963369963369963
12,"SVM_POLY2",0.99009900990099,0.987789987789988
13,"SVM_POLY2",0.98019801980198,0.976551226551227
14,"SVM_POLY2",0.99009900990099,0.988124600347127
15,"SVM_POLY2",0.99009900990099,0.988124600347127
16,"SVM_POLY2",0.99009900990099,0.987789987789988
17,"SVM_POLY2",0.98019801980198,0.975209763539283
18,"SVM_POLY2",0.99009900990099,0.987789987789988
19,"SVM_POLY2",0.99009900990099,0.987789987789988
20,"SVM_POLY2",0.99009900990099,0.988124600347127
21,"SVM_POLY2",0.99009900990099,0.988124600347127
22,"SVM_POLY2",0.98019801980198,0.975925925925926
23,"SVM_POLY2",0.99009900990099,0.987789987789988
24,"SVM_POLY2",0.99009900990099,0.987789987789988
25,"SVM_POLY2",0.98019801980198,0.975925925925926
26,"SVM_POLY2",0.96039603960396,0.950419527078566
27,"SVM_POLY2",0.99009900990099,0.987789987789988
28,"SVM_POLY2",0.99009900990099,0.987789987789988
29,"SVM_POLY2",0.98019801980198,0.975209763539283
30,"SVM_POLY2",0.98019801980198,0.975925925925926
31,"SVM_POLY2",0.97029702970297,0.963369963369963
1,"SVM_POLY3",0.97029702970297,0.96222028480093
2,"SVM_POLY3",0.96039603960396,0.948778565799842
3,"SVM_POLY3",0.98019801980198,0.975209763539283
4,"SVM_POLY3",0.98019801980198,0.975925925925926
5,"SVM_POLY3",0.97029702970297,0.963369963369963
6,"SVM_POLY3",0.98019801980198,0.975209763539283
7,"SVM_POLY3",0.99009900990099,0.988124600347127
8,"SVM_POLY3",1,1
9,"SVM_POLY3",0.98019801980198,0.975209763539283
10,"SVM_POLY3",0.96039603960396,0.950419527078566
12,"SVM_POLY3",0.99009900990099,0.987789987789988
13,"SVM_POLY3",0.98019801980198,0.976551226551227
14,"SVM_POLY3",1,1
15,"SVM_POLY3",0.98019801980198,0.975925925925926
16,"SVM_POLY3",0.98019801980198,0.975209763539283
17,"SVM_POLY3",0.98019801980198,0.975209763539283
18,"SVM_POLY3",0.98019801980198,0.975209763539283
19,"SVM_POLY3",0.98019801980198,0.975925925925926
20,"SVM_POLY3",0.99009900990099,0.988124600347127
21,"SVM_POLY3",0.940594059405941,0.927777777777778
22,"SVM_POLY3",0.99009900990099,0.988124600347127
23,"SVM_POLY3",0.99009900990099,0.987789987789988
24,"SVM_POLY3",0.99009900990099,0.987789987789988
25,"SVM_POLY3",0.98019801980198,0.975925925925926
26,"SVM_POLY3",0.95049504950495,0.93703380800155
27,"SVM_POLY3",0.99009900990099,0.987789987789988
28,"SVM_POLY3",0.99009900990099,0.987789987789988
29,"SVM_POLY3",0.97029702970297,0.96222028480093
30,"SVM_POLY3",0.98019801980198,0.975209763539283
