"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,0.3,0.3,0.955555555555556,1,0.988888888888889,0.522222222222222,0.977777777777778
2,0.333333333333333,0.333333333333333,0.944444444444444,1,0.988888888888889,0.522222222222222,0.977777777777778
3,0.388888888888889,0.388888888888889,0.9,1,0.977777777777778,0.5,0.955555555555556
4,0.355555555555556,0.355555555555556,0.866666666666667,1,0.966666666666667,0.6,0.977777777777778
5,0.366666666666667,0.366666666666667,0.933333333333333,0.966666666666667,0.988888888888889,0.477777777777778,0.955555555555556
6,0.366666666666667,0.366666666666667,0.944444444444444,1,0.988888888888889,0.5,0.966666666666667
7,0.333333333333333,0.333333333333333,0.944444444444444,0.988888888888889,0.988888888888889,0.5,0.988888888888889
8,0.455555555555556,0.455555555555556,0.922222222222222,0.988888888888889,0.966666666666667,0.444444444444444,0.955555555555556
9,0.4,0.4,0.977777777777778,0.988888888888889,1,0.466666666666667,0.988888888888889
10,0.377777777777778,0.377777777777778,0.922222222222222,0.988888888888889,0.966666666666667,0.566666666666667,0.977777777777778
11,0.366666666666667,0.366666666666667,0.855555555555556,0.955555555555556,0.977777777777778,0.522222222222222,0.933333333333333
12,0.388888888888889,0.388888888888889,0.922222222222222,0.988888888888889,0.977777777777778,0.544444444444444,0.944444444444444
13,0.333333333333333,0.333333333333333,0.933333333333333,0.977777777777778,0.977777777777778,0.511111111111111,1
14,0.355555555555556,0.355555555555556,0.922222222222222,1,0.966666666666667,0.5,0.977777777777778
15,0.3,0.3,0.911111111111111,1,0.977777777777778,0.488888888888889,0.977777777777778
16,0.355555555555556,0.355555555555556,0.922222222222222,0.966666666666667,0.988888888888889,0.522222222222222,0.988888888888889
17,0.4,0.4,0.877777777777778,0.966666666666667,0.966666666666667,0.477777777777778,0.966666666666667
18,0.377777777777778,0.377777777777778,0.9,0.977777777777778,0.977777777777778,0.488888888888889,0.977777777777778
19,0.4,0.4,0.844444444444444,0.966666666666667,0.955555555555556,0.5,0.933333333333333
20,0.3,0.3,0.955555555555556,0.977777777777778,0.966666666666667,0.466666666666667,0.966666666666667
21,0.422222222222222,0.422222222222222,0.922222222222222,0.977777777777778,0.977777777777778,0.511111111111111,0.988888888888889
22,0.422222222222222,0.422222222222222,0.933333333333333,0.977777777777778,0.977777777777778,0.477777777777778,0.955555555555556
23,0.355555555555556,0.355555555555556,0.922222222222222,0.977777777777778,0.988888888888889,0.488888888888889,0.977777777777778
24,0.388888888888889,0.388888888888889,0.866666666666667,0.977777777777778,1,0.511111111111111,0.966666666666667
25,0.311111111111111,0.311111111111111,0.955555555555556,0.977777777777778,0.977777777777778,0.477777777777778,0.944444444444444
26,0.344444444444444,0.344444444444444,0.955555555555556,0.988888888888889,0.955555555555556,0.488888888888889,0.955555555555556
27,0.388888888888889,0.388888888888889,0.9,1,0.988888888888889,0.533333333333333,0.988888888888889
28,0.4,0.4,0.911111111111111,0.966666666666667,0.977777777777778,0.533333333333333,0.977777777777778
29,0.344444444444444,0.344444444444444,0.911111111111111,1,0.977777777777778,0.522222222222222,0.977777777777778
30,0.433333333333333,0.433333333333333,0.966666666666667,0.977777777777778,0.988888888888889,0.533333333333333,0.977777777777778
