"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",1.94344540460634e-11,NA,NA,NA,NA,NA
"LDA_MASS",1.94344540460634e-11,1,NA,NA,NA,NA
"QDA",0.125956032239926,0.000113568053338287,0.000113568053338287,NA,NA,NA
"SVM_Poly2",0.968453832644964,1.04694031222152e-13,1.04694031222152e-13,0.00770181218089105,NA,NA
"SVM_Poly3",7.42520620011788e-05,0.15552618420165,0.15552618420165,0.394299388527189,5.70908936792236e-07,NA
"SVM_Radial",0.711901730065207,5.7065463465733e-14,5.7065463465733e-14,0.000649900498806089,0.995942273729997,1.29991485353642e-08
