"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",1.68946447165474e-07,NA,NA,NA,NA,NA
"LDA_MASS",6.76983930136821e-07,0.99998465163179,NA,NA,NA,NA
"QDA",0.289282876686262,0.00691570769896699,0.0158901980484307,NA,NA,NA
"SVM_Poly2",0.859152724794477,0.000150065654686671,0.000440718088814185,0.968453832644964,NA,NA
"SVM_Poly3",7.59392548843607e-14,0.135296213921031,0.0737833223772364,1.89501602188002e-08,3.71196406945273e-11,NA
"SVM_Radial",0.189887634671787,8.75965966429249e-14,1.37223565843669e-13,7.42520620011788e-05,0.00397518306398648,6.31716901011714e-14
