"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",3.40588393044072e-07,NA,NA,NA,NA,NA
"LDA_MASS",0.0143740119915281,0.24341236413093,NA,NA,NA,NA
"QDA",0.357519698621385,0.00691570769896699,0.872253781310299,NA,NA,NA
"SVM_Poly2",7.16093850883226e-14,0.0864828140263167,9.16895248803673e-06,6.05265093600593e-09,NA,NA
"SVM_Poly3",0.125956032239926,0.0373059204977053,0.989571942957518,0.998756281508136,1.41472512149576e-07,NA
"SVM_Radial",0.963110515527624,8.42110603471724e-10,0.000338564094018445,0.0373059204977053,6.81676937119846e-14,0.00691570769896699
