"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,0.970588235294118,0.958823529411765,0.970588235294118,0.982352941176471,0.888235294117647,0.964705882352941,0.976470588235294
2,0.952941176470588,0.947058823529412,0.958823529411765,0.964705882352941,0.864705882352941,0.952941176470588,0.964705882352941
3,0.935294117647059,0.929411764705882,0.958823529411765,0.970588235294118,0.882352941176471,0.958823529411765,0.964705882352941
4,0.982352941176471,0.947058823529412,0.982352941176471,0.952941176470588,0.870588235294118,0.958823529411765,0.964705882352941
5,0.958823529411765,0.929411764705882,0.929411764705882,0.958823529411765,0.870588235294118,0.952941176470588,0.958823529411765
6,0.958823529411765,0.923529411764706,0.947058823529412,0.976470588235294,0.823529411764706,0.923529411764706,0.958823529411765
7,0.947058823529412,0.923529411764706,0.947058823529412,0.982352941176471,0.888235294117647,0.958823529411765,0.970588235294118
8,0.952941176470588,0.905882352941176,0.976470588235294,0.958823529411765,0.870588235294118,0.958823529411765,0.970588235294118
9,0.952941176470588,0.9,0.947058823529412,0.964705882352941,0.841176470588235,0.947058823529412,0.970588235294118
10,0.941176470588235,0.905882352941176,0.941176470588235,0.970588235294118,0.876470588235294,0.976470588235294,0.958823529411765
11,0.923529411764706,0.929411764705882,0.976470588235294,0.947058823529412,0.841176470588235,0.935294117647059,0.964705882352941
12,0.923529411764706,0.923529411764706,0.941176470588235,0.952941176470588,0.829411764705882,0.929411764705882,0.941176470588235
13,0.958823529411765,0.958823529411765,0.964705882352941,0.982352941176471,0.823529411764706,0.952941176470588,0.970588235294118
14,0.964705882352941,0.970588235294118,0.947058823529412,0.976470588235294,0.864705882352941,0.952941176470588,0.976470588235294
15,0.964705882352941,0.952941176470588,0.982352941176471,0.970588235294118,0.864705882352941,0.970588235294118,0.976470588235294
16,0.941176470588235,0.929411764705882,0.947058823529412,0.958823529411765,0.852941176470588,0.941176470588235,0.935294117647059
17,0.970588235294118,0.923529411764706,0.952941176470588,0.970588235294118,0.847058823529412,0.947058823529412,0.976470588235294
18,0.947058823529412,0.947058823529412,0.976470588235294,0.988235294117647,0.888235294117647,0.976470588235294,0.976470588235294
19,0.958823529411765,0.917647058823529,0.947058823529412,0.970588235294118,0.870588235294118,0.964705882352941,0.964705882352941
20,0.941176470588235,0.917647058823529,0.935294117647059,0.982352941176471,0.858823529411765,0.958823529411765,0.976470588235294
21,0.964705882352941,0.952941176470588,0.970588235294118,0.982352941176471,0.835294117647059,0.964705882352941,0.994117647058824
22,0.952941176470588,0.9,0.952941176470588,0.976470588235294,0.858823529411765,0.964705882352941,NA
23,0.958823529411765,0.947058823529412,0.970588235294118,0.988235294117647,0.852941176470588,0.952941176470588,0.982352941176471
24,0.952941176470588,0.929411764705882,0.952941176470588,0.982352941176471,0.888235294117647,0.970588235294118,0.982352941176471
25,0.952941176470588,0.952941176470588,0.958823529411765,0.970588235294118,0.888235294117647,0.964705882352941,0.941176470588235
26,0.947058823529412,0.958823529411765,0.929411764705882,0.964705882352941,0.876470588235294,0.970588235294118,0.964705882352941
27,0.958823529411765,0.941176470588235,0.952941176470588,0.976470588235294,0.894117647058824,0.964705882352941,0.970588235294118
28,0.941176470588235,0.923529411764706,0.970588235294118,0.964705882352941,0.852941176470588,0.964705882352941,0.952941176470588
29,0.964705882352941,0.958823529411765,0.976470588235294,0.976470588235294,0.882352941176471,0.952941176470588,0.970588235294118
30,0.958823529411765,0.970588235294118,0.958823529411765,0.964705882352941,0.794117647058823,0.958823529411765,0.976470588235294
